v,lat,lng
5190,24.8607,67.0011
4052,31.5204,74.3587
1314,34.0151,71.5249
900,33.5651,73.0169
441,30.1798,66.975
413,30.1575,71.5249
348,33.6844,73.0479
308,35.2227,72.4258
300,32.5731,74.1005
250,32.4945,74.5229
250,32.074,72.6861
239,32.1877,74.1945
231,27.5256,68.7551
224,31.4504,73.135
204,25.396,68.3578
199,27.7244,68.8228
185,34.503,71.9046
176,27.557,68.2028
176,28.0271,69.3235
147,30.1575,71.5249
136,34.1989,72.0231
134,28.4212,70.2989
124,30.0736,71.1805
113,26.2988,68.2385
111,34.3943,72.6151
107,33.9405,71.0498
105,33.766,72.3609
103,34.1682,71.7504
96,27.957,68.638
96,35.3356,72.0468
92,34.3313,73.198
90,34.9161,71.8097
86,34.0105,71.9876
75,34.1688,73.2215
73,29.3544,71.6911
71,33.696,70.3361
67,34.6724,73.0243
67,34.1241,72.4613
63,31.1179,74.4408
61,31.6082,71.0854
61,34.8883,72.6003
59,33.5889,71.4429
59,28.2823,68.4472
59,32.0712,73.6895
53,30.0442,72.3441
53,35.7699,71.7741
50,32.991,70.6455
50,32.9425,73.7257
46,32.1014,74.88
46,31.8626,70.9019
46,31.7167,73.985
46,26.0436,68.948
46,30.0025,73.2412
42,25.1256,68.5426
40,35.8819,74.4643
40,30.3573,73.3827
40,34.7865,71.5249
38,32.2955,72.3489
36,30.6682,73.1114
36,26.7341,67.7795
36,31.2781,72.3317
36,33.1105,71.0914
34,30.9693,70.9428
34,31.4492,73.7125
31,32.5742,73.4828
27,26.8463,68.1253
27,33.9946,72.9106
27,35.357,74.8624
25,30.0489,70.6455
25,30.5897,67.0107
25,25.5065,69.0136
23,32.5839,71.537
21,24.6459,68.8467
21,25.4304,68.2809
17,29.1044,70.3301
17,27.5859,68.006
17,36.2764,74.72
15,32.9328,72.863
15,28.4482,69.5857
15,30.2864,71.932
15,24.6042,68.0776
13,34.5356,71.2874
13,25.5922,68.4442
13,33.8369,73.8889
11,35.4381,73.936
11,32.9431,69.955
11,33.5008,73.9007
11,30.8138,73.4534
10,25.4351,68.7632
10,34.3551,73.4769
10,24.8777,70.2408
8,30.9709,72.4826
8,33.6671,70.9547
8,24.7475,67.9106
8,33.4254,73.419
8,32.9753,74.0858
6,32.3202,69.8597
6,31.7292,72.9822
6,35.25,73.5
6,33.148,73.7537